"",VALUE,VALUE,PERCENT
TYPE OF PROPERTY,STOLEN,RECOVERED,RECOVERED
"A) Currency, Notes, etc.","$579,263","$5,617",1.0%
B) Jewelry & Precious Metal,"$215,534","$3,521",1.6%
C) Clothing & Furs,"$50,139","$7,604",15.2%
D) Locally Stolen Motor Vehicles,"$1,738,470","$1,107,452",63.7%
E) Office Equipment,"$29,213","$4,576",15.7%
"F) Televisions, Radios, Stereos, etc.","$99,089","$17,480",17.6%
G) Firearms,"$66,029","$3,863",5.9%
H) Household Goods,"$39,961","$5,295",13.3%
I) Consumable Goods,"$22,100","$4,909",22.2%
J) Livestock,"$2,125",$0,0.0%
K) Miscellaneous,"$1,404,620","$327,716",23.3%
TOTAL,"$4,246,543","$1,488,033",35.0%
